timestep,community_id,size,illicit,licit,unknown,illicit_pct,purity
7,45,51,22,4,25,0.8461538461538461,0.8461538461538461
7,54,34,10,0,24,1.0,1.0
9,14,97,19,4,74,0.8260869565217391,0.8260869565217391
9,31,166,42,7,117,0.8571428571428571,0.8571428571428571
9,39,112,35,5,72,0.875,0.875
11,41,104,21,3,80,0.875,0.875
11,37,78,15,3,60,0.8333333333333334,0.8333333333333334
13,12,123,32,7,84,0.8205128205128205,0.8205128205128205
13,27,163,66,10,87,0.868421052631579,0.868421052631579
13,49,53,20,1,32,0.9523809523809523,0.9523809523809523
14,18,44,12,1,31,0.9230769230769231,0.9230769230769231
15,49,62,32,3,27,0.9142857142857143,0.9142857142857143
16,42,55,11,1,43,0.9166666666666666,0.9166666666666666
16,37,49,21,3,25,0.875,0.875
18,19,39,16,0,23,1.0,1.0
20,30,59,16,1,42,0.9411764705882353,0.9411764705882353
20,59,82,30,5,47,0.8571428571428571,0.8571428571428571
20,55,39,22,1,16,0.9565217391304348,0.9565217391304348
21,14,47,17,1,29,0.9444444444444444,0.9444444444444444
21,32,66,17,3,46,0.85,0.85
21,47,41,11,0,30,1.0,1.0
21,21,14,14,0,0,1.0,1.0
22,20,50,16,2,32,0.8888888888888888,0.8888888888888888
22,57,101,15,0,86,1.0,1.0
22,51,85,32,6,47,0.8421052631578947,0.8421052631578947
22,60,16,13,1,2,0.9285714285714286,0.9285714285714286
23,37,19,10,1,8,0.9090909090909091,0.9090909090909091
24,42,90,78,4,8,0.9512195121951219,0.9512195121951219
25,14,79,32,6,41,0.8421052631578947,0.8421052631578947
25,17,20,10,0,10,1.0,1.0
25,31,39,14,2,23,0.875,0.875
26,35,57,12,2,43,0.8571428571428571,0.8571428571428571
28,17,74,60,0,14,1.0,1.0
29,4,32,15,0,17,1.0,1.0
29,15,75,60,6,9,0.9090909090909091,0.9090909090909091
29,32,91,86,5,0,0.945054945054945,0.945054945054945
30,26,63,10,0,53,1.0,1.0
31,12,47,45,1,1,0.9782608695652174,0.9782608695652174
32,57,72,48,10,14,0.8275862068965517,0.8275862068965517
32,26,95,61,1,33,0.9838709677419355,0.9838709677419355
32,43,179,59,5,115,0.921875,0.921875
40,40,63,13,3,47,0.8125,0.8125
41,25,126,24,4,98,0.8571428571428571,0.8571428571428571
42,44,109,32,7,70,0.8205128205128205,0.8205128205128205
43,3,64,14,2,48,0.875,0.875
